Tensile stress;Tensile strain (Extension)
(MPa);(mm/mm)
0.002564063;0.00039
1.88E-03;0.000392727
0.002019792;0.000439091
0.004073438;0.000576667
0.005276042;0.000734848
0.004810938;0.000900303
0.009159375;0.001056667
0.008407292;0.001187576
0.009066146;0.001341515
0.010866667;0.001462121
0.01044375;0.001619697
0.012102083;0.001750909
0.013390104;0.001881212
0.01326875;0.002032424
0.016272917;0.00218
0.014951563;0.002330606
0.017424479;0.002475152
0.018608333;0.002632727
0.018085417;0.002789697
0.022585417;0.002951818
0.021589063;0.003110303
0.021298958;0.003281212
0.024544792;0.003428485
0.023789583;0.003594545
0.026531771;0.003757576
0.026803646;0.003898788
0.027547396;0.004062121
0.02819375;0.004203939
0.028601042;0.004365152
0.031795313;0.004537273
0.034333333;0.004719697
0.031689063;0.00487303
0.034622917;0.005056667
0.034496354;0.005195758
0.036580208;0.005362727
0.038763542;0.005532424
0.03840625;0.00570697
0.041279167;0.005867879
0.041715625;0.006015758
0.040235938;0.006180909
0.044115625;0.006312727
0.042993229;0.006476667
0.045524479;0.006647879
0.046067708;0.006772121
0.046163542;0.006923939
0.049629167;0.007092121
0.050030729;0.007266667
0.051039063;0.007405758
0.051333854;0.007554545
0.050900521;0.007692727
0.054190104;0.00785697
0.055810938;0.008015455
0.055085938;0.008185758
0.0594625;0.008322727
0.056334375;0.008478182
0.059551563;0.008634545
0.060654167;0.008786061
0.059436979;0.008926667
0.06284375;0.009082727
0.062754167;0.009270303
0.064415104;0.009393939
0.065903125;0.009547576
0.064626042;0.009735455
0.067471354;0.009868182
0.067688542;0.009991818
0.068322396;0.010154242
0.070977604;0.010303333
0.071519271;0.010444242
0.071800521;0.010632121
0.073297396;0.010765455
0.073409375;0.010905455
0.075701563;0.011083636
0.076176563;0.011236061
0.076515104;0.011380606
0.078134896;0.011494848
0.079240104;0.011686364
0.080819271;0.011845455
0.081379688;0.011966364
0.082335417;0.012114242
0.085030729;0.012288182
0.085015104;0.012466667
0.085805208;0.012594545
0.087485417;0.012718182
0.085888021;0.012903636
0.090058333;0.01306303
0.089495313;0.013212727
0.08989375;0.013355455
0.091770313;0.013474848
0.091155208;0.013647273
0.095157292;0.013781515
0.095527604;0.013974242
0.095779167;0.01411697
0.098713021;0.014253333
0.097549479;0.014431818
0.098582813;0.014586667
0.100815104;0.014742424
0.099086979;0.014865758
0.103452604;0.014995152
0.102464063;0.015169697
0.104305208;0.015336364
0.105621875;0.015479697
0.104726563;0.015629394
0.107631771;0.015781212
0.108926563;0.015911818
0.107986458;0.01607303
0.110409375;0.016235152
0.110133854;0.016375455
0.112530729;0.01651303
0.114190625;0.016671515
0.112698438;0.01684303
0.115726042;0.016990303
0.115916667;0.017107576
0.115189063;0.017267576
0.119543229;0.017405455
0.118166146;0.017563333
0.120298958;0.017718485
0.122425521;0.017898485
0.120727604;0.018047576
0.125002083;0.018173939
0.123968229;0.018327273
0.125695833;0.018492121
0.127017188;0.018639697
0.126661458;0.018780303
0.128809896;0.018915152
0.129122396;0.019074545
0.130546875;0.019242727
0.131925521;0.019392424
0.131893229;0.019529394
0.133916146;0.019671515
0.135093229;0.019819091
0.134638021;0.019995152
0.137282292;0.020137273
0.137074479;0.020286667
0.138223438;0.020433939
0.140493229;0.020570909
0.137914583;0.020728485
0.142059375;0.020878182
0.142592188;0.021036061
0.142913542;0.021189091
0.145504688;0.021344848
0.145830208;0.021484545
0.146885938;0.021652121
0.148415625;0.021785758
0.147649479;0.021924848
0.149303646;0.022088788
0.150411979;0.022281818
0.150285417;0.022415758
0.153283333;0.022554545
0.151671354;0.022711212
0.154795833;0.022859091
0.156488021;0.022999697
0.156746354;0.023184242
0.159794271;0.023350909
0.158541667;0.023489394
0.159784375;0.023624848
0.160532292;0.023800303
0.161794792;0.023972121
0.164195313;0.024102424
0.164328646;0.024236061
0.164781771;0.024416364
0.166415625;0.024597273
0.165373958;0.024736667
0.169169792;0.024869697
0.170068229;0.025018182
0.170251042;0.025195152
0.173827604;0.025338788
0.171763542;0.025492121
0.1732375;0.025638182
0.175458854;0.025788182
0.174236979;0.025967576
0.177218229;0.026085152
0.176380729;0.026263333
0.178579167;0.026402727
0.179951563;0.026554848
0.178400521;0.026708182
0.183526042;0.026872727
0.182917708;0.027020606
0.182448958;0.027167879
0.184438542;0.027312424
0.184880729;0.027471515
0.186623438;0.027632727
0.188619271;0.02775303
0.188996875;0.027942424
0.192320833;0.028076364
0.190467188;0.028222727
0.190552083;0.028362424
0.193316667;0.028495152
0.19234375;0.028669394
0.195913021;0.028835152
0.196625521;0.028964242
0.196084375;0.029105455
0.198113542;0.029267576
0.198316146;0.029425758
0.199522917;0.029582727
0.202127604;0.029706061
0.202132813;0.029857879
0.203836979;0.030019697
0.203519792;0.030181818
0.204692188;0.03034697
0.206602083;0.030488788
0.205672396;0.030640606
0.207881771;0.030781212
0.209443229;0.030921515
0.208346354;0.03106
0.212050521;0.031212424
0.213357813;0.031416061
0.214431771;0.031542121
0.213483333;0.031683333
0.215311979;0.031819091
0.21659375;0.031989091
0.216979688;0.032151818
0.217378646;0.032290303
0.220860417;0.032433939
0.219970833;0.032573333
0.220961979;0.032741515
0.222950521;0.032903636
0.222373958;0.033027273
0.224648958;0.033180606
0.22460625;0.033350303
0.225876042;0.033490606
0.227679167;0.03363
0.226694271;0.033808485
0.229942708;0.033963333
0.231244792;0.034108485
0.230177604;0.034221818
0.23416875;0.034382727
0.232821875;0.034530909
0.234839583;0.034700303
0.235986458;0.034847273
0.23549375;0.035010303
0.240020833;0.035155758
0.238597917;0.035302727
0.23990625;0.035436061
0.240646354;0.035592424
0.240863542;0.035743333
0.242725521;0.035919697
0.243356771;0.036061212
0.244578646;0.036199697
0.247380729;0.036356364
0.245923438;0.036504242
0.247644271;0.03666
0.2493125;0.036822424
0.249317188;0.036952727
0.252540625;0.03712
0.250513542;0.037263939
0.25154375;0.037410606
0.254528646;0.037550909
0.254502083;0.03772303
0.257134375;0.037876364
0.256894792;0.03800697
0.257273958;0.038186667
0.260550521;0.038333333
0.258396875;0.038486061
0.26100625;0.038632727
0.261538542;0.038766364
0.26208125;0.038933636
0.264701563;0.039081818
0.264673958;0.039227273
0.265990104;0.039411515
0.269504688;0.039545758
0.266660938;0.039684848
0.270227604;0.039841212
0.2696125;0.039971515
0.269825521;0.040164242
0.272269271;0.040303636
0.272302604;0.04043697
0.274209896;0.040626061
0.275699479;0.040782121
0.275516146;0.040947273
0.278095833;0.041071818
0.277567708;0.041196364
0.279278646;0.041338485
0.281650521;0.041513636
0.280520313;0.04169
0.283576042;0.041843636
0.283703646;0.041988485
0.28160625;0.042125152
0.286709896;0.042272121
0.286016146;0.042417576
0.287980208;0.042577273
0.289221354;0.042738182
0.289188021;0.042871818
0.291813021;0.043005152
0.292172917;0.043199394
0.292098438;0.043352121
0.294458333;0.043478788
0.293506771;0.043629091
0.295930729;0.043784848
0.297677083;0.043958485
0.296922917;0.044113636
0.300825;0.044268182
0.297842708;0.044417879
0.30093125;0.044543636
0.301895833;0.044687879
0.301090625;0.044865455
0.305991146;0.045022121
0.303902604;0.045150303
0.305164063;0.045298485
0.307767188;0.04545
0.308129688;0.045638182
0.310327604;0.045747576
0.309667188;0.045896667
0.310267188;0.046043636
0.314695313;0.046231212
0.313196875;0.046390909
0.313966146;0.046510303
0.315641146;0.046659394
0.315716667;0.046852424
0.318404688;0.046991212
0.317965625;0.047124848
0.318849479;0.047272121
0.321513542;0.047445758
0.319651563;0.047591212
0.323516667;0.047747273
0.323959896;0.047907576
0.323317188;0.048029091
0.326740625;0.048161515
0.325152604;0.048314242
0.327588542;0.048495455
0.329417188;0.048658182
0.328411458;0.048800606
0.331047917;0.048930606
0.331921875;0.04909303
0.331084896;0.049274848
0.333274479;0.049386364
0.333427604;0.049552424
0.335877604;0.049730606
0.337356771;0.049856667
0.336464063;0.049989091
0.340165104;0.050160909
0.338890625;0.050330606
0.339833333;0.050469091
0.340963021;0.050585455
0.340372917;0.050732121
0.345269792;0.050914242
0.344272917;0.05108
0.345201042;0.051227576
0.34823125;0.051370909
0.346946354;0.051514848
0.348557813;0.051671212
0.350118229;0.051826061
0.350166667;0.051983636
0.352451042;0.052125152
0.352680729;0.052271515
0.353047396;0.052413939
0.355860938;0.052563939
0.354316667;0.05272303
0.356770833;0.05288303
0.359455729;0.053048182
0.356973958;0.053189394
0.361477604;0.053327879
0.361689583;0.053497273
0.362267708;0.053662727
0.363633333;0.05381303
0.36248125;0.05398
0.36559375;0.054090303
0.366526563;0.054232727
0.366570313;0.054424848
0.369596354;0.054577879
0.368858333;0.054724545
0.370897396;0.054880303
0.372477604;0.055012424
0.372029167;0.05515697
0.374496875;0.05533
0.375277604;0.055484848
0.375386458;0.05564303
0.378753646;0.055788788
0.376901042;0.055954242
0.378741667;0.056102424
0.380059896;0.056225758
0.380301563;0.056378182
0.383382813;0.056533333
0.381868229;0.056696667
0.382583854;0.056848788
0.38555;0.05699303
0.384436458;0.057138485
0.38816875;0.05726697
0.388789583;0.057446364
0.387159896;0.057600909
0.391113542;0.057747576
0.388773958;0.05788697
0.391033333;0.05802697
0.394115104;0.058211818
0.393064063;0.058338788
0.395746354;0.058466667
0.396476042;0.058659697
0.396283854;0.058813333
0.397902604;0.058959394
0.39764375;0.059111818
0.399143229;0.059238485
0.401481771;0.059388182
0.401290625;0.059547273
0.404425521;0.059688182
0.404533333;0.059881818
0.404394792;0.060029091
0.408140625;0.060185152
0.405676042;0.060320606
0.40699375;0.060440303
0.409108854;0.060590303
0.409297396;0.060763636
0.412754688;0.060927576
0.4126375;0.061079394
0.4126625;0.061229394
0.415179167;0.061383333
0.414315104;0.061516667
0.417057292;0.061670303
0.418054688;0.061845152
0.416914063;0.061993636
0.420144792;0.062125455
0.420710417;0.062269394
0.421172396;0.062432424
0.42183125;0.06257697
0.421919792;0.062729697
0.424844271;0.062868485
0.425573958;0.063008485
0.425008854;0.063181515
0.428921875;0.063324848
0.427678125;0.063474545
0.429794271;0.063618182
0.430848438;0.063783939
0.430534896;0.063907576
0.432776042;0.064063333
0.432004167;0.064224242
0.433765625;0.06440697
0.436650521;0.064544848
0.434338021;0.064677879
0.438103125;0.064839091
0.43805;0.064986364
0.438535417;0.065152727
0.441313542;0.06529303
0.441616146;0.065430909
0.441614063;0.065569394
0.445176563;0.065751212
0.444190104;0.065936667
0.446694271;0.066055455
0.445814583;0.066188182
0.447476563;0.066333333
0.450039063;0.066488788
0.448996875;0.066649091
0.450796875;0.066805152
0.451279167;0.066957273
0.451868229;0.067114545
0.454966146;0.067238788
0.453948438;0.067385455
0.454882292;0.067527273
0.457735417;0.067672121
0.457203646;0.067841515
0.458665104;0.067980909
0.459464583;0.068141818
0.459917188;0.068280606
0.462413021;0.068437576
0.46188125;0.068605455
0.46405;0.068753939
0.465749479;0.068894848
0.46465;0.069041515
0.466442188;0.069185152
0.4677875;0.069351212
0.468485417;0.069507879
0.470924479;0.069664545
0.470369792;0.069815152
0.471330729;0.069961515
0.474052083;0.070121212
0.472533333;0.070270909
0.47600625;0.070403636
0.475338542;0.070562121
0.475665104;0.070713636
0.479317188;0.070876667
0.4785875;0.071049394
0.480059896;0.071200303
0.482238021;0.071352424
0.480496354;0.071490303
0.483379167;0.071636667
0.484483854;0.071793939
0.484633333;0.071957576
0.487679688;0.072112727
0.486128646;0.072281515
0.488283854;0.072437576
0.488996354;0.072561212
0.490058854;0.072716364
0.493147396;0.072876667
0.492122396;0.073029091
0.492716667;0.073180909
0.495692708;0.073339091
0.494673958;0.073489091
0.496851042;0.073651515
0.497622396;0.073802424
0.497570833;0.073935152
0.500856771;0.074067879
0.49939375;0.074228182
0.501447917;0.074409697
0.503703125;0.074566364
0.503513021;0.074728788
0.504551563;0.074886364
0.505633333;0.075026364
0.506272396;0.075172121
0.508548958;0.075318182
0.508531771;0.075464848
0.509728646;0.075607576
0.511172917;0.07578
0.510928646;0.075920909
0.512333854;0.076058182
0.514180729;0.076211212
0.51456875;0.076360909
0.516577083;0.076535758
0.516443229;0.07668697
0.518000521;0.076844848
0.520120313;0.076998788
0.518759375;0.077119394
0.522022917;0.077254242
0.521671875;0.077426061
0.521964063;0.077591212
0.52409375;0.077740303
0.524071354;0.077907273
0.527408333;0.078060303
0.527191146;0.078220909
0.527381771;0.078366667
0.529758854;0.078482424
0.529703646;0.078622727
0.530982813;0.078772121
0.532644792;0.078939394
0.533046354;0.079110606
0.535936979;0.079266364
0.535236979;0.07943
0.535573438;0.079563636
0.537675;0.079711515
0.537365625;0.079847273
0.539372396;0.079987879
0.541163542;0.080134848
0.539648438;0.080289091
0.543003646;0.080450606
0.543042188;0.080626061
0.544207292;0.080791818
0.547258333;0.080961818
0.545463542;0.081112121
0.548317708;0.081264545
0.548746875;0.081419697
0.547377604;0.081566061
0.551240104;0.081698182
0.551157292;0.081860606
0.551741146;0.082002727
0.554730208;0.082150303
0.553109896;0.082289394
0.557047917;0.082444848
0.557406771;0.082596667
0.556146875;0.082753939
0.559884896;0.082911212
0.559277083;0.083069697
0.560308333;0.083219394
0.562526042;0.083357879
0.561275521;0.083496667
0.563978125;0.083629394
0.565440104;0.08381
0.564483854;0.083968788
0.566091667;0.084116667
0.566956771;0.084280303
0.568885938;0.084409091
0.569546875;0.084569091
0.568838021;0.084697879
0.571663021;0.084853333
0.572615104;0.085007576
0.5716875;0.085158788
0.574906771;0.085310606
0.574490104;0.085475152
0.576654688;0.085637576
0.577855729;0.085770303
0.577369792;0.085894848
0.580114583;0.086058485
0.581464063;0.086217576
0.580714063;0.086359697
0.583317188;0.086512121
0.583384375;0.08665
0.584429167;0.086829697
0.586607292;0.08698
0.585634375;0.087113939
0.589529167;0.087276364
0.588286458;0.08741697
0.589757813;0.087576061
0.592679688;0.087744242
0.590680729;0.087920303
0.593665625;0.088062424
0.594408854;0.088225455
0.594170833;0.088360909
0.595560417;0.088479697
0.596569271;0.088637273
0.597320833;0.08882303
0.600820833;0.088975455
0.598307813;0.089126364
0.6011875;0.089272424
0.602967708;0.089420606
0.6018125;0.089548485
0.604653646;0.089697273
0.605280729;0.089872727
0.605654688;0.090020606
0.607273958;0.090152424
0.606340104;0.090311515
0.608675;0.090470303
0.610904167;0.090644242
0.609651563;0.090790606
0.613668229;0.090937273
0.61290625;0.091096364
0.613286458;0.091227576
0.615826042;0.091376061
0.614434896;0.091535152
0.618291667;0.091699091
0.618045833;0.091879091
0.618165104;0.092014848
0.619814583;0.09216303
0.620380729;0.09233
0.620645833;0.092475455
0.623423958;0.092622424
0.621923958;0.092763636
0.624502604;0.092926061
0.625092708;0.093068485
0.623850521;0.093227273
0.627002604;0.093388485
0.626177083;0.09354697
0.627259896;0.093717879
0.6271125;0.093879091
